City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,jardim,-21.4803,-56.1381,279.89,74,0,1.04,BR,1655102127
115,new norfolk,-42.7826,147.0587,283.87,81,30,1.79,AU,1655102128
116,dikson,73.5069,80.5464,272.39,90,100,7.62,RU,1655101865
117,cherskiy,68.75,161.3,293.9,30,33,3.91,RU,1655102130
118,constitucion,-35.3333,-72.4167,281.65,87,94,0.96,CL,1655102131
119,kaitangata,-46.2817,169.8464,280.08,80,98,7.09,NZ,1655102046
120,saldanha,-33.0117,17.9442,286.18,92,100,8.54,ZA,1655102133
121,kieta,-6.2167,155.6333,300.95,74,26,2.47,PG,1655101977
122,miramar,25.9873,-80.2323,301.48,85,0,2.57,US,1655102123
123,east london,-33.0153,27.9116,297.67,29,0,8.23,ZA,1655102139
124,port hedland,-20.3167,118.5667,302.18,18,0,5.14,AU,1655102052
125,acajutla,13.5928,-89.8275,298.32,84,100,1.74,SV,1655102141
126,vangaindrano,-23.35,47.6,294.64,65,75,0.57,MG,1655102143
127,saint-francois,46.4154,3.9054,291.84,68,100,2.06,FR,1655102144
128,getulio vargas,-32.6796,-53.5494,278.83,90,2,1.83,UY,1655102145
129,ust-uda,54.1742,103.0304,299.31,40,96,2.87,RU,1655102147
130,tasiilaq,65.6145,-37.6368,275.24,99,100,1.51,GL,1655102148
131,taltal,-25.4,-70.4833,287.07,76,30,1.06,CL,1655101938
132,geraldton,-28.7667,114.6,293.38,56,100,3.6,AU,1655102151
133,boca do acre,-8.7522,-67.3978,289.88,81,68,1.92,BR,1655102152
134,upernavik,72.7868,-56.1549,271.0,96,100,1.66,GL,1655102153
135,smidovich,48.6,133.8167,297.02,61,100,3.77,RU,1655102154
136,saskylakh,71.9167,114.0833,295.12,24,0,3.47,RU,1655102156
137,iqaluit,63.7506,-68.5145,275.0,87,75,4.12,CA,1655102157
138,nanortalik,60.1432,-45.2371,275.27,88,44,7.51,GL,1655102158
139,sao joao da barra,-21.6403,-41.0511,292.05,65,100,8.21,BR,1655101954
140,hasaki,35.7333,140.8333,297.2,64,91,5.98,JP,1655102160
141,nome,64.5011,-165.4064,282.19,54,100,3.6,US,1655102163
142,burnie,-41.0667,145.9167,285.34,55,45,4.3,AU,1655102165
143,vardo,70.3705,31.1107,282.14,61,75,7.2,NO,1655102166
144,cherrapunji,25.3,91.7,294.31,86,100,1.71,IN,1655102168
145,tucurui,-3.7661,-49.6725,295.74,95,65,0.92,BR,1655102169
146,ilulissat,69.2167,-51.1,272.16,100,100,3.6,GL,1655102170
147,saint george,37.1041,-113.5841,305.48,9,0,6.17,US,1655102172
148,samarai,-10.6167,150.6667,301.83,73,12,4.7,PG,1655102173
149,luwuk,-0.9516,122.7875,301.9,74,72,2.32,ID,1655102174
150,trinidad,-14.8333,-64.9,283.76,63,0,1.9,BO,1655102175
151,mizdah,31.4451,12.9801,296.46,37,0,3.33,LY,1655102177
152,kodiak,57.79,-152.4072,288.88,59,0,3.6,US,1655102178
153,soe,-9.8607,124.284,298.59,50,15,3.53,ID,1655102180
154,naryan-mar,67.6713,53.087,288.44,35,100,4.61,RU,1655102181
155,chuy,-33.6971,-53.4616,280.26,95,9,1.9,UY,1655102182
156,yulara,-25.2406,130.9889,293.25,25,0,1.52,AU,1655101978
157,merauke,-8.4667,140.3333,300.52,82,100,6.94,ID,1655102185
158,bengkulu,-3.8004,102.2655,302.02,64,100,2.3,ID,1655102186
159,yellowknife,62.456,-114.3525,284.44,87,20,1.03,CA,1655102187
160,andenes,69.3143,16.1194,281.14,93,75,3.09,NO,1655102188
161,saint-philippe,-21.3585,55.7679,294.92,84,100,7.88,RE,1655102189
162,broken hill,-31.95,141.4333,285.57,53,0,0.87,AU,1655102055
163,ponta do sol,32.6667,-17.1,293.71,77,38,0.41,PT,1655102192
164,santa rosalia,27.3167,-112.2833,299.14,51,6,1.87,MX,1655102193
165,ishigaki,24.3448,124.1572,304.22,84,40,8.23,JP,1655102194
166,arraial do cabo,-22.9661,-42.0278,292.61,66,100,11.2,BR,1655102195
167,manta,-0.95,-80.7333,295.03,88,100,3.09,EC,1655102196
168,ngorongoro,-3.2397,35.4875,286.58,69,98,3.01,TZ,1655102198
169,tessalit,20.1986,1.0114,304.43,24,99,1.61,ML,1655102199
170,saint-alexandre,44.2278,4.6214,297.76,61,93,7.47,FR,1655102200
